# nodo,x,y,ux,uy,x_d,y_d
8,2.5,0.0,-1.3777720293065405e-05,-0.0006125414780746292,2.499986222279707,-0.0006125414780746292
283,2.5,0.05833333333324179,-1.1439257460545157e-05,-0.0006142391929779506,2.4999885607425396,0.05771909414026384
284,2.5,0.1166666666664294,-9.201827332928056e-06,-0.0006156268209561644,2.499990798172667,0.11605103984547324
282,2.5,0.174999999999617,-7.0452833358051916e-06,-0.0006167251854345263,2.499992954716664,0.17438327481418248
285,2.5,0.2333333333331128,-4.949458019248462e-06,-0.0006175512816335905,2.4999950505419806,0.2327157820514792
286,2.5,0.2916666666665594,-2.894168108397006e-06,-0.0006181158629762349,2.4999971058318917,0.29104855080358316
10,2.5,0.35,-8.591801041502984e-07,-0.000618425869213775,2.499999140819896,0.3493815741307862
288,2.5,0.4083333333333078,1.1756333766946322e-06,-0.0006184844679272972,2.500001175633377,0.4077148488653805
289,2.5,0.4666666666665533,3.2306095218591677e-06,-0.0006182884279412225,2.5000032306095217,0.4660483782386121
287,2.5,0.5249999999998732,5.326033156736283e-06,-0.000617830888371584,2.5000053260331567,0.5243821691115017
290,2.5,0.5833333333332354,7.481932442447736e-06,-0.0006171009748165407,2.5000074819324425,0.582716232358419
291,2.5,0.6416666666665178,9.718888822062558e-06,-0.0006160816980938552,2.500009718888822,0.6410505849684239
9,2.5,0.7,1.2057007081498836e-05,-0.0006147523709053509,2.5000120570070816,0.6993852476290946
